Designator,Mid X,Mid Y,Rotation,Layer
C15,124.05,37.2,180.0,bottom
C2,118.3894,66.0172,270.0,top
C26,128.66,53.24,0.0,bottom
C27,128.71,43.95,0.0,bottom
C3,127.254,66.0172,270.0,top
C4,136.017,66.0426,270.0,top
D1,129.95,37.35,270.0,bottom
D14,52.17668,43.45686,90.0,top
D2,126.4,46.65,0.0,bottom
D25,52.197,48.21946,90.0,top
D3,126.4,50.44,0.0,bottom
J1,146.01,48.46,90.0,top
J21,68.335,67.23,270.0,top
J3,98.9,30.04,270.0,top
J4,68.29,58.94,270.0,top
J5,88.7,61.85,270.0,top
J6,146.09094,18.1378,270.0,top
J7,119.12,58.93,270.0,top
PS1,105.3338,65.8114,0.0,top
Q1,80.8736,23.4188,270.0,bottom
R1,111.6584,67.7418,0.0,bottom
R2,111.6584,65.4812,0.0,bottom
R3,81.8896,26.6827,90.0,bottom
R4,79.8449,26.6827,270.0,bottom
R89,53.74,43.48,270.0,bottom
R90,53.76418,48.20158,270.0,bottom
U5,135.24,48.60188,180.0,bottom
